Date,Open,High,Low,Close,Adj Close,Volume
12/12/1980,0.128348,0.128906,0.128348,0.128348,0.100323,469033600
12/15/1980,0.12221,0.12221,0.121652,0.121652,0.095089,175884800
12/16/1980,0.113281,0.113281,0.112723,0.112723,0.08811,105728000
12/17/1980,0.115513,0.116071,0.115513,0.115513,0.090291,86441600
12/18/1980,0.118862,0.11942,0.118862,0.118862,0.092908,73449600
12/19/1980,0.126116,0.126674,0.126116,0.126116,0.098578,48630400
12/22/1980,0.132254,0.132813,0.132254,0.132254,0.103376,37363200
12/23/1980,0.137835,0.138393,0.137835,0.137835,0.107739,46950400
12/24/1980,0.145089,0.145647,0.145089,0.145089,0.113409,48003200
12/26/1980,0.158482,0.15904,0.158482,0.158482,0.123877,55574400
12/29/1980,0.160714,0.161272,0.160714,0.160714,0.125622,93161600
12/30/1980,0.157366,0.157366,0.156808,0.156808,0.122569,68880000
12/31/1980,0.152902,0.152902,0.152344,0.152344,0.11908,35750400
1/2/1981,0.154018,0.155134,0.154018,0.154018,0.120388,21660800
1/5/1981,0.151228,0.151228,0.15067,0.15067,0.117771,35728000
1/6/1981,0.144531,0.144531,0.143973,0.143973,0.112536,45158400
1/7/1981,0.138393,0.138393,0.137835,0.137835,0.107739,55686400
1/8/1981,0.135603,0.135603,0.135045,0.135045,0.105558,39827200
1/9/1981,0.142299,0.142857,0.142299,0.142299,0.111228,21504000
1/12/1981,0.142299,0.142299,0.141183,0.141183,0.110356,23699200
1/13/1981,0.136719,0.136719,0.136161,0.136161,0.10643,23049600
1/14/1981,0.136719,0.137277,0.136719,0.136719,0.106866,14291200
1/15/1981,0.139509,0.140625,0.139509,0.139509,0.109047,14067200
1/16/1981,0.138951,0.138951,0.138393,0.138393,0.108175,13395200
1/19/1981,0.146763,0.147321,0.146763,0.146763,0.114717,41574400
1/20/1981,0.142857,0.142857,0.142299,0.142299,0.111228,30083200
1/21/1981,0.145089,0.146205,0.145089,0.145089,0.113409,15904000
1/22/1981,0.146763,0.147879,0.146763,0.146763,0.114717,35548800
1/23/1981,0.146763,0.147321,0.146205,0.146205,0.114281,11222400
1/26/1981,0.144531,0.144531,0.143973,0.143973,0.112536,24640000
1/27/1981,0.143973,0.143973,0.142857,0.142857,0.111664,23699200
1/28/1981,0.138951,0.138951,0.138393,0.138393,0.108175,28156800
1/29/1981,0.133929,0.133929,0.133371,0.133371,0.104249,43904000
1/30/1981,0.127232,0.127232,0.126116,0.126116,0.098578,46188800
2/2/1981,0.11942,0.11942,0.118862,0.118862,0.092908,23766400
2/3/1981,0.123326,0.123884,0.123326,0.123326,0.096398,19152000
2/4/1981,0.12779,0.128348,0.12779,0.12779,0.099887,27865600
2/5/1981,0.12779,0.128906,0.12779,0.12779,0.099887,7929600
2/6/1981,0.128348,0.128906,0.128348,0.128348,0.100323,13865600
2/9/1981,0.122768,0.122768,0.121652,0.121652,0.095089,16755200
2/10/1981,0.121652,0.12221,0.121652,0.121652,0.095089,18345600
2/11/1981,0.118304,0.118304,0.117746,0.117746,0.092036,13843200
2/12/1981,0.117188,0.117188,0.116629,0.116629,0.091163,14560000
2/13/1981,0.114955,0.114955,0.113839,0.113839,0.088982,11155200
2/17/1981,0.116629,0.117188,0.116629,0.116629,0.091163,12275200
2/18/1981,0.121652,0.122768,0.121652,0.121652,0.095089,19241600
2/19/1981,0.114955,0.114955,0.114397,0.114397,0.089418,22310400
2/20/1981,0.108817,0.108817,0.108259,0.108259,0.084621,24371200
2/23/1981,0.109933,0.110491,0.109933,0.109933,0.085929,14112000
2/24/1981,0.107143,0.107143,0.106027,0.106027,0.082876,16979200
2/25/1981,0.112723,0.113281,0.112723,0.112723,0.08811,19488000
2/26/1981,0.114397,0.114955,0.114397,0.114397,0.089418,10841600
2/27/1981,0.118304,0.11942,0.118304,0.118304,0.092472,14761600
3/2/1981,0.118862,0.11942,0.118862,0.118862,0.092908,11760000
3/3/1981,0.117746,0.117746,0.117188,0.117188,0.0916,16172800
3/4/1981,0.116629,0.116629,0.116071,0.116071,0.090727,13708800
3/5/1981,0.116071,0.116071,0.115513,0.115513,0.090291,5376000
3/6/1981,0.115513,0.115513,0.114397,0.114397,0.089418,11603200
3/9/1981,0.106027,0.106027,0.105469,0.105469,0.08244,15321600
3/10/1981,0.101004,0.101004,0.100446,0.100446,0.078514,28380800
3/11/1981,0.097656,0.097656,0.09654,0.09654,0.07546,29859200
3/12/1981,0.100446,0.101004,0.100446,0.100446,0.078514,59248000
3/13/1981,0.099888,0.099888,0.09933,0.09933,0.077641,231302400
3/16/1981,0.103237,0.104353,0.103237,0.103237,0.080695,37228800
3/17/1981,0.108259,0.109375,0.108259,0.108259,0.084621,43747200
3/18/1981,0.114955,0.116071,0.114955,0.114955,0.089854,36937600
3/19/1981,0.114397,0.114397,0.113839,0.113839,0.088982,37811200
3/20/1981,0.114955,0.116071,0.114955,0.114955,0.089854,14604800
3/23/1981,0.11942,0.120536,0.11942,0.11942,0.093345,22019200
3/24/1981,0.11942,0.11942,0.118862,0.118862,0.092908,28156800
3/25/1981,0.117746,0.117746,0.116629,0.116629,0.091163,7056000
3/26/1981,0.114955,0.114955,0.114397,0.114397,0.089418,12275200
3/27/1981,0.111049,0.111049,0.110491,0.110491,0.086365,12252800
3/30/1981,0.110491,0.111607,0.110491,0.110491,0.086365,9900800
3/31/1981,0.110491,0.110491,0.109375,0.109375,0.085493,15993600
4/1/1981,0.108817,0.108817,0.108259,0.108259,0.084621,34070400
4/2/1981,0.117746,0.118304,0.117746,0.117746,0.092036,31404800
4/3/1981,0.118304,0.118862,0.118304,0.118304,0.092472,16486400
4/6/1981,0.116629,0.116629,0.116071,0.116071,0.090727,22803200
4/7/1981,0.115513,0.115513,0.114955,0.114955,0.089854,10684800
4/8/1981,0.120536,0.121652,0.120536,0.120536,0.094217,21952000
4/9/1981,0.122768,0.123326,0.122768,0.122768,0.095961,12499200
4/10/1981,0.124442,0.125,0.124442,0.124442,0.09727,33465600
4/13/1981,0.124442,0.125,0.124442,0.124442,0.09727,16060800
4/14/1981,0.124442,0.125,0.124442,0.124442,0.09727,6652800
4/15/1981,0.118862,0.118862,0.118304,0.118304,0.092472,34048000
4/16/1981,0.112165,0.112165,0.111607,0.111607,0.087238,23878400
4/20/1981,0.114955,0.115513,0.114955,0.114955,0.089854,35347200
4/21/1981,0.122768,0.123326,0.122768,0.122768,0.095961,28537600
4/22/1981,0.127232,0.12779,0.127232,0.127232,0.099451,18995200
4/23/1981,0.13058,0.131138,0.13058,0.13058,0.102068,58016000
4/24/1981,0.13058,0.13058,0.129464,0.129464,0.101195,35056000
4/27/1981,0.128906,0.128906,0.128348,0.128348,0.100323,38528000
4/28/1981,0.126674,0.126674,0.126116,0.126116,0.098578,32188800
4/29/1981,0.125,0.125,0.124442,0.124442,0.09727,13641600
4/30/1981,0.126674,0.12779,0.126674,0.126674,0.099015,12611200
5/1/1981,0.126674,0.12779,0.126674,0.126674,0.099015,16553600
5/4/1981,0.126674,0.126674,0.126116,0.126116,0.098578,14448000
5/5/1981,0.126116,0.126116,0.125558,0.125558,0.098142,17539200
5/6/1981,0.122768,0.122768,0.12221,0.12221,0.095525,18950400
5/7/1981,0.123884,0.124442,0.123884,0.123884,0.096834,9363200
5/8/1981,0.125,0.125558,0.125,0.125,0.097706,7907200
5/11/1981,0.122768,0.122768,0.12221,0.12221,0.095525,11939200
5/12/1981,0.12221,0.123884,0.12221,0.12221,0.095525,4256000
5/13/1981,0.12221,0.123326,0.121652,0.121652,0.095089,4905600
5/14/1981,0.121094,0.121094,0.119978,0.119978,0.093781,4928000
5/15/1981,0.122768,0.124442,0.122768,0.122768,0.095961,4905600
5/18/1981,0.125,0.126116,0.125,0.125,0.097706,4166400
5/19/1981,0.123326,0.123326,0.122768,0.122768,0.095961,25424000
5/20/1981,0.126674,0.12779,0.126674,0.126674,0.099015,13283200
5/21/1981,0.133929,0.134487,0.133929,0.133929,0.104685,32211200
5/22/1981,0.140067,0.141183,0.140067,0.140067,0.109483,31427200
5/26/1981,0.140067,0.140067,0.139509,0.139509,0.109047,85344000
5/27/1981,0.147321,0.147879,0.147321,0.147321,0.115153,149497600
5/28/1981,0.147321,0.147879,0.147321,0.147321,0.115153,73987200
5/29/1981,0.147879,0.148438,0.147879,0.147879,0.11559,59382400
6/1/1981,0.147879,0.148438,0.147879,0.147879,0.11559,51251200
6/2/1981,0.141183,0.141183,0.140625,0.140625,0.109919,40432000
6/3/1981,0.140625,0.141741,0.140625,0.140625,0.109919,39446400
6/4/1981,0.143415,0.143973,0.143415,0.143415,0.1121,56067200
6/5/1981,0.141741,0.141741,0.141183,0.141183,0.110356,57680000
6/8/1981,0.136719,0.136719,0.136161,0.136161,0.10643,93497600
6/9/1981,0.138951,0.139509,0.138951,0.138951,0.108611,119593600
6/10/1981,0.140625,0.142299,0.140625,0.140625,0.109919,25222400
6/11/1981,0.146763,0.147321,0.146763,0.146763,0.114717,38976000
6/12/1981,0.145647,0.145647,0.145089,0.145089,0.113409,25804800
